"","Source","State","County","Year","Sector","Industry","Establishments","Employment","Wages","GDP","state","rgn_name","rgn_id"
"121","ENOW","Connecticut","Middlesex",2012,"Living Resources","All Industries",3,20,269000,568000,"Connecticut","Connecticut",3
"122","ENOW","Connecticut","Middlesex",2012,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"123","ENOW","Connecticut","Middlesex",2012,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"124","ENOW","Connecticut","Middlesex",2012,"Tourism & Recreation","All Industries",188,2603,62338000,127284000,"Connecticut","Connecticut",3
"125","ENOW","Connecticut","Middlesex",2012,"Transportation","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"126","ENOW","Connecticut","Middlesex",2012,"All Ocean Sectors","All Industries",209,3081,94237000,191814000,"Connecticut","Connecticut",3
"127","ENOW","Connecticut","New Haven",2012,"Construction","All Industries",13,86,4961000,10297000,"Connecticut","Connecticut",3
"128","ENOW","Connecticut","New Haven",2012,"Living Resources","All Industries",12,29,578000,1220000,"Connecticut","Connecticut",3
"129","ENOW","Connecticut","New Haven",2012,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"130","ENOW","Connecticut","New Haven",2012,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"131","ENOW","Connecticut","New Haven",2012,"Tourism & Recreation","All Industries",770,10413,185567000,397579000,"Connecticut","Connecticut",3
"132","ENOW","Connecticut","New Haven",2012,"Transportation","All Industries",45,973,43499000,84922000,"Connecticut","Connecticut",3
"133","ENOW","Connecticut","New Haven",2012,"All Ocean Sectors","All Industries",849,12474,303049000,668224000,"Connecticut","Connecticut",3
"134","ENOW","Connecticut","New London",2012,"Construction","All Industries",9,49,3094000,6422000,"Connecticut","Connecticut",3
"135","ENOW","Connecticut","New London",2012,"Living Resources","All Industries",11,49,1047000,2210000,"Connecticut","Connecticut",3
"136","ENOW","Connecticut","New London",2012,"Minerals","All Industries",9,60,3109000,14520000,"Connecticut","Connecticut",3
"137","ENOW","Connecticut","New London",2012,"Ship & Boat Building","All Industries",8,232,22040000,53534000,"Connecticut","Connecticut",3
"138","ENOW","Connecticut","New London",2012,"Tourism & Recreation","All Industries",437,6787,133551000,320134000,"Connecticut","Connecticut",3
"139","ENOW","Connecticut","New London",2012,"Transportation","All Industries",16,6,168000,271000,"Connecticut","Connecticut",3
"140","ENOW","Connecticut","New London",2012,"All Ocean Sectors","All Industries",490,15798,924225000,1890671000,"Connecticut","Connecticut",3
"141","ENOW","Connecticut","All Connecticut counties",2011,"Construction","All Industries",41,301,15685714,31638000,"Connecticut","Connecticut",3
"142","ENOW","Connecticut","All Connecticut counties",2011,"Living Resources","All Industries",71,461,16856122,40613000,"Connecticut","Connecticut",3
"143","ENOW","Connecticut","All Connecticut counties",2011,"Minerals","All Industries",27,258,21986735,64597000,"Connecticut","Connecticut",3
"144","ENOW","Connecticut","All Connecticut counties",2011,"Ship & Boat Building","All Industries",15,8483,715861224,1358231000,"Connecticut","Connecticut",3
"145","ENOW","Connecticut","All Connecticut counties",2011,"Tourism & Recreation","All Industries",2443,32190,705716327,1549441000,"Connecticut","Connecticut",3
"146","ENOW","Connecticut","All Connecticut counties",2011,"Transportation","All Industries",144,4211,348647959,724365000,"Connecticut","Connecticut",3
"147","ENOW","Connecticut","All Connecticut counties",2011,"All Ocean Sectors","All Industries",2741,45906,1824754082,3768886000,"Connecticut","Connecticut",3
"148","ENOW","Connecticut","Fairfield",2011,"Construction","All Industries",8,17,1068367,2155000,"Connecticut","Connecticut",3
"149","ENOW","Connecticut","Fairfield",2011,"Living Resources","All Industries",25,53,1320408,2701000,"Connecticut","Connecticut",3
"150","ENOW","Connecticut","Fairfield",2011,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"151","ENOW","Connecticut","Fairfield",2011,"Ship & Boat Building","All Industries",4,79,4524490,10580000,"Connecticut","Connecticut",3
"152","ENOW","Connecticut","Fairfield",2011,"Tourism & Recreation","All Industries",1081,13305,337737755,678529000,"Connecticut","Connecticut",3
"153","ENOW","Connecticut","Fairfield",2011,"Transportation","All Industries",60,669,39753061,69280000,"Connecticut","Connecticut",3
"154","ENOW","Connecticut","Fairfield",2011,"All Ocean Sectors","All Industries",1194,15252,531501020,1180641000,"Connecticut","Connecticut",3
"155","ENOW","Connecticut","Middlesex",2011,"Construction","All Industries",9,92,8028571,16199000,"Connecticut","Connecticut",3
"156","ENOW","Connecticut","Middlesex",2011,"Living Resources","All Industries",3,16,232653,475000,"Connecticut","Connecticut",3
"157","ENOW","Connecticut","Middlesex",2011,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"158","ENOW","Connecticut","Middlesex",2011,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"159","ENOW","Connecticut","Middlesex",2011,"Tourism & Recreation","All Industries",181,2527,61036735,114607000,"Connecticut","Connecticut",3
"160","ENOW","Connecticut","Middlesex",2011,"Transportation","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"161","ENOW","Connecticut","Middlesex",2011,"All Ocean Sectors","All Industries",204,2988,91129592,182634000,"Connecticut","Connecticut",3
"162","ENOW","Connecticut","New Haven",2011,"Construction","All Industries",12,36,1986735,4009000,"Connecticut","Connecticut",3
"163","ENOW","Connecticut","New Haven",2011,"Living Resources","All Industries",12,36,1136735,3486000,"Connecticut","Connecticut",3
"164","ENOW","Connecticut","New Haven",2011,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"165","ENOW","Connecticut","New Haven",2011,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"166","ENOW","Connecticut","New Haven",2011,"Tourism & Recreation","All Industries",752,9850,177389796,348524000,"Connecticut","Connecticut",3
"167","ENOW","Connecticut","New Haven",2011,"Transportation","All Industries",45,1000,44116327,76996000,"Connecticut","Connecticut",3
"168","ENOW","Connecticut","New Haven",2011,"All Ocean Sectors","All Industries",834,11918,289784694,661386000,"Connecticut","Connecticut",3
"169","ENOW","Connecticut","New London",2011,"Construction","All Industries",7,156,4602041,9285000,"Connecticut","Connecticut",3
"170","ENOW","Connecticut","New London",2011,"Living Resources","All Industries",12,54,940816,1924000,"Connecticut","Connecticut",3
"171","ENOW","Connecticut","New London",2011,"Minerals","All Industries",9,55,3013265,9897000,"Connecticut","Connecticut",3
"172","ENOW","Connecticut","New London",2011,"Ship & Boat Building","All Industries",6,225,21615306,50547000,"Connecticut","Connecticut",3
"173","ENOW","Connecticut","New London",2011,"Tourism & Recreation","All Industries",429,6506,129551020,272912000,"Connecticut","Connecticut",3
"174","ENOW","Connecticut","New London",2011,"Transportation","All Industries",18,6,157143,256000,"Connecticut","Connecticut",3
"175","ENOW","Connecticut","New London",2011,"All Ocean Sectors","All Industries",482,15572,903414286,1838126000,"Connecticut","Connecticut",3
"176","ENOW","Connecticut","All Connecticut counties",2010,"Construction","All Industries",43,282,15269474,31235000,"Connecticut","Connecticut",3
"177","ENOW","Connecticut","All Connecticut counties",2010,"Living Resources","All Industries",73,454,17425263,46112000,"Connecticut","Connecticut",3
"178","ENOW","Connecticut","All Connecticut counties",2010,"Minerals","All Industries",29,273,23342105,79401000,"Connecticut","Connecticut",3
"179","ENOW","Connecticut","All Connecticut counties",2010,"Ship & Boat Building","All Industries",15,8502,731400000,1586663000,"Connecticut","Connecticut",3
"180","ENOW","Connecticut","All Connecticut counties",2010,"Tourism & Recreation","All Industries",2376,30780,695094737,1465471000,"Connecticut","Connecticut",3
"181","ENOW","Connecticut","All Connecticut counties",2010,"Transportation","All Industries",142,4345,349610526,694948000,"Connecticut","Connecticut",3
